,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.7149239332881003,0.22371397302750085,2.2809654450782677,2.5877432099607685,2.718124086144927,2.8581393624724756,3.1460803745528905,0.010672050167234699
a_std,0.9830366739047839,0.19109906411339866,0.7133108611593533,0.8578352710859356,0.9593171243327214,1.0651893487650317,1.3852168058361074,0.010747080012637564
a_subj.302,2.2811422427488335,0.16503523294288705,2.016097082764645,2.134971282412236,2.2789397324763696,2.4023415706819304,2.592167604568313,0.015779957262676045
a_subj.303,3.0527009333681803,0.1898816660574827,2.7455002243649744,2.9118209818386824,3.044099045173983,3.1814962852336386,3.4559279592246854,0.01840097775865652
a_subj.304,3.8101921799088614,0.2626512263949973,3.3605412108185915,3.609358872145731,3.8369238745464624,4.007387745409478,4.270404772928089,0.025775282934833065
a_subj.305,2.782584966275401,0.17917306513324582,2.4326696666413037,2.659399781440625,2.774938498180076,2.9109330328480376,3.1730142616282695,0.017263229786845115
a_subj.307,1.6818078954477882,0.12229512674580327,1.487538921424305,1.580601795527187,1.6672525999738,1.7663892849284777,1.9506859444180538,0.011885335356086857
a_subj.308,1.7097482218624727,0.0695353772034257,1.588658708581188,1.661026415882886,1.7044991870370394,1.7550864730751754,1.859730989116831,0.005822317128851508
a_subj.309,1.4236764150667727,0.08308497905887634,1.2737341837299843,1.3650143765728426,1.4213996771197024,1.4850787149717555,1.5780213544742523,0.007777644871308503
a_subj.310,3.497385825938935,0.2226991405414837,3.1094289606263135,3.3418371316291013,3.48797616938616,3.6397687010802846,3.9690947788364923,0.021354735241921753
a_subj.311,3.686549501321718,0.3280744183977659,3.0472798082245323,3.4909505343644547,3.6555910418227557,3.845449506040005,4.466477477255694,0.03245380121970043
a_subj.312,2.6748962255542756,0.30061699599081826,2.0777132105368645,2.4249443868478493,2.7202715492330993,2.9165021436721363,3.1539540277321794,0.029758449169412886
a_subj.313,3.585362017932657,0.21431826594055242,3.2123092460118925,3.3983084155317584,3.6024404380150665,3.7455290332930784,3.9762487662359196,0.02105533874834819
a_subj.314,4.489597578121192,0.4478436254902413,3.7516209900703172,4.104606200264673,4.559768969948669,4.83204974589096,5.203027561472256,0.044485388121375424
a_subj.315,3.847080283380087,0.2856726546718843,3.276917938844645,3.623665225959077,3.8606654151641013,4.068697462576501,4.368193556273016,0.02812391302136894
a_subj.317,1.3907515812441529,0.09190330831548914,1.202784866904143,1.3324058475699,1.382618378305712,1.4489561892577807,1.5984047663291991,0.008725065033275897
a_subj.319,1.8272945671632705,0.1194599320958156,1.6222302006569922,1.7404906877453226,1.8251904304191142,1.9003189898985484,2.0858066113582714,0.011404248589804138
a_subj.320,2.5500763477427575,0.17802653716384773,2.2472919776089872,2.40955286435144,2.5532948158120132,2.6906354714064995,2.891874181456857,0.017306183098686284
a_subj.322,2.3515682179538455,0.09258696788860554,2.1908617296063904,2.282404430060215,2.3479706411314565,2.4192642347573656,2.544071756217671,0.008245115841330532
a_subj.323,2.1302015707942483,0.11777044006707754,1.8968124910098751,2.0403092971600287,2.1368822170372948,2.2252111756486546,2.343115388809744,0.010956494940396324
a_subj.324,3.550823052276977,0.19734462478250966,3.1777975894789776,3.4094681476842936,3.5573009299999763,3.684670721227586,3.951793190171231,0.0192484519334774
a_subj.325,2.386720853670215,0.15066550256576708,2.1639083120147657,2.276589180142468,2.3497079065296105,2.4991132758382286,2.723694358399795,0.014498306574272434
a_subj.328,1.9724166714952824,0.09515705514766143,1.8086845221467693,1.8920432208048132,1.977916226654504,2.043590679349583,2.1515750458451457,0.008608611956011342
a_subj.329,3.5697566480983105,0.27542016604386194,3.1060222785496907,3.332836467479628,3.616885511571856,3.7823284162502784,4.104194695225279,0.027053854875913292
a_subj.332,3.048053372537771,0.2871981636015405,2.5856074126972888,2.851285824129234,3.033371929901556,3.2219268343585408,3.75791081535024,0.028350268458057177
a_subj.334,1.4979447728840318,0.061912255942835524,1.3702577726126224,1.453429303491848,1.4993680423937776,1.5410016160454676,1.6238436093251136,0.005218034696886667
a_subj.336,2.879051433719328,0.2225235593121288,2.486022704773381,2.6904047112756144,2.879259281203288,3.0782789563697803,3.2485019381041926,0.021660387785524142
a_subj.338,3.5571704634926538,0.2792590916493547,3.125732557828879,3.286200500998711,3.5967875662371984,3.77260328258843,4.089106559072947,0.027639668665053657
v(1.0),6.589469259100691,0.35461257366267607,5.892488077709811,6.347809238091056,6.586875257535559,6.83513548724689,7.295693875665933,0.019957402281841043
v(1.1),5.515414024407913,0.2876279161842734,4.965605043270841,5.315891919565349,5.51089367186501,5.708234477868858,6.081833388101748,0.009754784755894353
v(2.0),5.9709167517325605,0.34783984181772165,5.30477886536679,5.724704846377881,5.970343773842051,6.19749853997463,6.651139813111252,0.019687905603988184
v(2.1),5.352190678079162,0.28226140437252095,4.756166070444642,5.1743765912684845,5.35099567216595,5.5349785974552015,5.900303771501832,0.009022305662604481
v(3.0),5.553733242075974,0.44204754688330716,4.706697887756629,5.242970126812415,5.546676991712849,5.855094921642994,6.462031041340079,0.024286993669557153
v(3.1),5.021637170401858,0.34922817177058385,4.349686494200122,4.792479718234608,5.021104016345213,5.25121602197349,5.697477262516465,0.012362069373227192
v_std,1.396566632270938,0.11838169407596266,1.184131408257582,1.3106840044714763,1.3869714369242545,1.471212903208283,1.653672227337729,0.006598723403820084
v_subj(1.0).302,6.139790213935243,0.6663601425082009,4.8652023350485685,5.655654379499839,6.159447972793373,6.583900710277682,7.5128156237503765,0.04629633461055395
v_subj(1.0).303,3.141441454950629,0.27508918564799195,2.594935598914479,2.951431411213699,3.1464950675179457,3.335125855566804,3.6591243486535463,0.02035460990933983
v_subj(1.0).304,7.224094335590275,0.8873297542734756,5.3397341850266935,6.613189065647443,7.264929286902031,7.832803359315398,8.863159895912256,0.061133724803914935
v_subj(1.0).305,5.621068350205278,0.66299300868717,4.275469212152217,5.202594287074294,5.6017643792576965,6.035845883608193,6.954299542390891,0.041059667109142016
v_subj(1.0).307,7.897922836842907,0.9732410842455235,6.028864909918733,7.235914382347663,7.8876399292366495,8.544500011695133,9.89868623218291,0.053167911040932304
v_subj(1.0).308,4.8927078435340645,1.2879041326583733,2.794607499031679,3.9236448054638915,4.746700183675417,5.850707080964688,7.553890147237185,0.053324427952907774
v_subj(1.0).309,7.746784118060016,1.0279626666672117,5.789425306010973,7.068117538569133,7.734045515196394,8.470844890550426,9.685309944649813,0.060230158034889514
v_subj(1.0).310,5.35339532113311,1.1224044727533569,3.424757048059503,4.603446952221361,5.250365332856419,5.933915862785484,7.958278102871704,0.04951835582907722
v_subj(1.0).311,8.459812884907462,1.0314127577344891,6.424366320660179,7.776990522797922,8.452977410591858,9.184693167077178,10.413138918981577,0.0496676935748205
