,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,4.883386122963771,0.2737658346311009,4.356691594649414,4.698402191285451,4.889604256784349,5.069285484311389,5.417476903056383,0.012677941644277302
a_std,1.3096564624363023,0.22635249503931948,0.9657223860607829,1.146209483847917,1.2822710785741553,1.439751670062844,1.8538981000151251,0.010126595628132541
a_subj.302,4.975097035056711,0.33512814070827246,4.245018487191824,4.759387054225534,4.962912593216948,5.200596936516364,5.610953338347511,0.03259014552296876
a_subj.303,4.251596538370725,0.2625712407905008,3.8586110406896554,4.052149360637143,4.186729860999049,4.452365740939829,4.832402388170504,0.02535020324200631
a_subj.304,6.107119145279385,0.2898195893184358,5.483318484110761,5.955810949548024,6.137330185613909,6.279391873504027,6.645028862490646,0.028407281711548892
a_subj.305,4.9660370765148585,0.38397211175934526,4.293694677907773,4.629382374029801,5.039225023023683,5.263540164180729,5.591729741250534,0.03784150454164949
a_subj.307,4.294749566470105,0.40236899365328,3.747663053419354,3.928654955146788,4.217050467624889,4.706565519572038,5.037257375277951,0.039976562499616584
a_subj.308,3.1229870519409286,0.25896400503159456,2.748313248486146,2.9257985034772,3.0635075417833866,3.299502442837734,3.6505409808008156,0.02524266010597511
a_subj.309,4.078384482409099,0.37451926322143103,3.1975230292740062,3.818565036232641,4.129444973302942,4.340656094268189,4.760988577664861,0.0370962199060673
a_subj.310,4.9729424460059395,0.1897925656550618,4.611949380266032,4.8422999388180905,4.963980312581711,5.096621619619748,5.389151478697222,0.017632401217501276
a_subj.311,5.908053791429455,0.22518023498117343,5.513672346260876,5.758321060635524,5.898306527090278,6.063621235730824,6.389073795712887,0.021427358689986666
a_subj.312,5.641646831020356,0.4125039228777532,5.027067363601572,5.295951653288726,5.6000598321527715,5.9778202149359405,6.418503668866577,0.04071585157250053
a_subj.313,6.03795299703608,0.28982746122823183,5.5270175089449145,5.814833254485051,6.068569032455219,6.2854685502395515,6.495076371883853,0.02832320276898167
a_subj.314,6.923980429256315,0.20673656713851915,6.5137477424576655,6.773941427597794,6.941309821700886,7.0868050068473085,7.283005021810884,0.019478509994002892
a_subj.315,6.246281941566269,0.4017812650824767,5.449655123105391,5.972389384046416,6.255163111399473,6.498603321296411,7.064984955931321,0.0394315729328563
