,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(1),4.923142468621912,0.2568978955913883,4.439709754434248,4.747934038027662,4.915650382076179,5.079297230707109,5.424626424801026,0.015462622865210935
a(2),2.92662714322429,0.24725419949037902,2.413751752330326,2.7744674755740535,2.927823305019738,3.0840646397273708,3.382003327103813,0.010693109250338327
a_std,1.1201682976430554,0.15042247166035372,0.8635782525965783,1.0106470251353419,1.1116077503546886,1.2112202608523932,1.4452677225536057,0.009210887273563988
a_subj(1).1,4.624492407335298,0.5936360613138378,3.5925352494205502,4.18935439407212,4.572814565253532,5.040724602277211,5.734906552061193,0.05852425078758751
a_subj(1).2,4.272625273571519,0.362975103313664,3.5904870572037835,4.011091250022084,4.301847588334636,4.550420793624053,4.940912553788136,0.034513178498665906
a_subj(1).3,5.599154187862959,0.5443338694400748,4.682342296465092,5.1881329444985615,5.5197056461447715,6.011782175553653,6.939866656352731,0.053360118685696144
a_subj(1).4,4.903093374234417,0.7070863126709301,3.8050596294959345,4.3446204104256925,4.779253898494299,5.359099939951062,6.350910701935671,0.06991186313273237
a_subj(1).6,4.902530219668026,0.4768428010638828,3.8776307627716085,4.549409225030488,4.927976066206925,5.248009252221857,5.764431152771914,0.04695797583412382
a_subj(1).7,3.3915914765368744,0.48874888477325307,2.674736029669475,3.0455345556877313,3.288488689340079,3.6622398878987323,4.728123898796296,0.047847630739299846
a_subj(1).8,4.11596236506414,0.50061527871579,3.372355141190348,3.76632962394941,4.036694191200167,4.289486851943943,5.394013426466625,0.04924725651864786
a_subj(1).9,4.7648123142337395,0.3220023346234143,4.17025624235562,4.535702686808189,4.756277394300248,4.990812225683014,5.395796162244451,0.02992262253973086
a_subj(1).10,6.010770292032421,0.48324169718156534,5.0579387699561105,5.674959956406453,5.995566375690557,6.324033885097603,7.010385850849124,0.046814364490497765
a_subj(1).11,5.549040585118806,0.7581344374601542,4.084441198740088,4.992900442427338,5.532499500900763,6.174009066900071,6.81689268728654,0.07507273976829804
a_subj(1).12,6.105950599751063,0.5609936634344118,4.888405728399211,5.755597316552597,6.157721535423716,6.486579491922291,7.038899931702709,0.05508297350097219
a_subj(1).13,6.194944626075499,0.4612993241223192,5.483368248922585,5.856594891804794,6.110897349825985,6.475025429316062,7.2448662387503635,0.04430604227475049
a_subj(1).14,6.208562838100357,0.40780752034603895,5.392598660659944,5.938215328458767,6.202481423159446,6.469334485957098,7.034174914941534,0.039064010173723865
a_subj(1).15,3.0758160930736165,0.3435640961078126,2.3110028417683384,2.884776147741789,3.101271670387157,3.296260629901056,3.716899176346301,0.033397719914411754
a_subj(1).16,4.942221558137227,0.5567468183133528,3.7188237535279236,4.615807291675166,4.978757709500537,5.294268848503283,6.0150994131067685,0.05443152624402316
a_subj(1).17,4.376414602532879,0.5125916791517084,3.3528481783950195,4.054914162782418,4.359385399303006,4.606033639365403,5.560704640990226,0.05022316371226462
a_subj(1).18,4.972621043810296,0.5031335669695927,4.115663421830754,4.624070305377583,4.950653041085108,5.257712977578033,6.14952900711257,0.049060923570960445
a_subj(1).19,4.049046995803559,0.42902870120082837,3.2710529340932664,3.72747798821457,4.02262473273796,4.340879121823079,4.887891374673513,0.04149973559077843
a_subj(1).20,5.950599924296106,0.42249651561643264,5.252230648976424,5.605130384245733,5.920935106184188,6.260923686694741,6.807870668719499,0.04091943500247552
a_subj(1).21,4.676268759444122,0.6439228202152512,3.5967768403901976,4.146288044039647,4.647978502143956,5.176132141917835,5.918664394963467,0.0635347278245061
a_subj(1).25,6.295129541208812,0.6164266604735984,5.216225267146407,5.826948592712545,6.312080244103783,6.766289874021455,7.464206547380716,0.06050944322803371
a_subj(1).27,5.881507938544118,0.462890105115374,5.16270135929973,5.4942845587015,5.824023359111877,6.200166506977503,6.8008634162359884,0.04519213985748383
a_subj(1).29,4.035668632462749,0.22613669229419858,3.589723994809263,3.8694266432316544,4.047646440788134,4.1988829116546205,4.455022585097553,0.020378412104560387
a_subj(1).31,4.721716198970207,0.3482705170657067,4.029377107484699,4.481396991319996,4.689327942333399,4.972681153438144,5.4231082368613475,0.032898700839831284
a_subj(1).32,3.376882782022964,0.2892610827967541,2.8763507108146693,3.159971801900907,3.3583612215699348,3.5979000478730514,3.967899861436467,0.02736563452843204
a_subj(2).1,2.2459061046420934,0.250361713549963,1.8057768045120446,2.039789543641142,2.240545032529379,2.4496779550431516,2.697592242970123,0.023987437927568377
a_subj(2).2,2.8048804783752503,0.2676603517565957,2.3521253915218336,2.6432934173451637,2.8114788623937437,2.9335137440418215,3.4756625070697744,0.025863987180630783
a_subj(2).3,4.429364224471597,0.5508689042281526,3.5258221648586385,3.9907721658347413,4.427307884797663,4.744838361714827,5.736233364692994,0.05437018656238331
a_subj(2).4,3.1155325106518124,0.42356974976017936,2.4349044496205687,2.7210995805185476,3.1597565947619537,3.4470236893253574,3.9538685016409842,0.041496856732007786
a_subj(2).6,2.175893189300442,0.42702831987850864,1.6117937308492463,1.8475316168151967,2.094268300858113,2.353909027935368,3.1731050722798337,0.042295189193516304
a_subj(2).7,1.6260551631192621,0.08281193025677284,1.4717654462146663,1.5718316282291536,1.6201020807357165,1.6811595529428587,1.790421312088185,0.006402394581456118
a_subj(2).8,1.4796867493670915,0.14141012581029624,1.2456048560123758,1.3827967232564176,1.4586190217072759,1.5537607771983324,1.82892885974622,0.013326230149159023
a_subj(2).9,3.9683714295208703,0.4731276786412027,3.1079301768566725,3.610649599596124,3.933452593183163,4.359622392323405,4.833641425867826,0.04588386319759096
a_subj(2).10,4.245131153377501,0.6231154669490199,2.8971180716426574,3.8419685406896225,4.292771120152742,4.714066471820875,5.276250413507712,0.061685997852383025
a_subj(2).11,2.708542177101744,0.4110684372446747,2.1234932031732128,2.389382350183257,2.6004927620726495,3.007683277387099,3.6155606945558523,0.04050238305363299
a_subj(2).12,3.6311588395187275,0.365157086643741,2.98552089678546,3.380748390627505,3.6383672411999997,3.848430731333162,4.389955800595138,0.035730803629287794
a_subj(2).13,4.637775985455237,0.3941352057312465,3.942625588745063,4.338111790596437,4.604339322214188,4.89854688581529,5.449685814114261,0.038266804195099716
a_subj(2).14,3.953234832788882,0.46683379675370656,3.1041992944468912,3.603930188556579,3.950186041314964,4.231653329013157,4.956237496651209,0.045874828098483686
a_subj(2).15,1.3659592922358914,0.1782844665994641,1.1009951121876347,1.2380541277469712,1.3235743514031588,1.457225378061093,1.7657248899049875,0.017148207958895857
a_subj(2).16,1.8918940310303816,0.17214491159659132,1.6109480167983217,1.7736033098656645,1.8755182255566631,1.9832471393246067,2.4023621204261993,0.01610356367140924
a_subj(2).17,3.0490203889575973,0.38057957865385483,2.158099817543045,2.8625611750206783,3.127191523309844,3.3304879268489773,3.608372893342343,0.03731369551009876
a_subj(2).18,2.638819601397123,0.1883679019806673,2.2632079324486933,2.5095994385570854,2.6337508321436403,2.7661489826326764,3.0060149718143423,0.01732868824294825
a_subj(2).19,1.927774750843131,0.18371718635643872,1.5875168315613775,1.781538179263343,1.9408211731835248,2.072205305515045,2.247356466789899,0.017131508005069247
a_subj(2).20,3.79311190854365,0.6046817944038545,2.461856869510241,3.517118429670116,3.8462375115378546,4.181621789365308,4.814591033251231,0.05991851825728487
a_subj(2).21,2.1145270872431157,0.2162969747406426,1.6944853711080807,1.9738096819548723,2.106996368595695,2.2747270540563016,2.4937155776565576,0.020638274940015418
a_subj(2).25,3.9645870041322775,0.33728419058889453,3.2497112014458347,3.7134784797344107,4.037750747415552,4.220830599566813,4.5268658526148,0.03249010365596307
a_subj(2).27,3.6498534827668574,0.49659211349335525,2.708980740216479,3.2966002142638287,3.625677329526879,4.08820429780027,4.5447864498770745,0.04904207228163
a_subj(2).29,1.4612377996269248,0.09009395276301747,1.3046095489774052,1.3985249892572043,1.4574741295155857,1.5221914187496253,1.6640641264380205,0.007547028690687882
a_subj(2).31,3.3457898620806357,0.4561011029912022,2.5969315234496015,3.0514314812051624,3.2776757715223788,3.5379756243417404,4.419535456931745,0.04467345498473934
a_subj(2).32,3.9560744206984992,0.3296351342502189,3.4392773176505154,3.72200669064623,3.8955595147578808,4.177021396135556,4.673590582262697,0.03204984466468098
v(1.0),5.460351554883692,0.3605889244063584,4.7592705830412765,5.206471269535401,5.461761383799739,5.6958344362821896,6.181772221686982,0.02190369105855281
v(1.1),5.0414331897823645,0.2937947018775524,4.487739219773417,4.840277431367562,5.0437349335634964,5.239861616484672,5.630703132138116,0.011595063405128149
v(2.0),6.06180253192466,0.39961667077684065,5.301194883108192,5.8029594790252865,6.053723680107085,6.339257852224482,6.882087346853984,0.025683462980598853
v(2.1),5.390130437661776,0.30074610998259477,4.827734109268304,5.1960887516049885,5.388056474841395,5.581866748862286,5.999998879121743,0.013345979667388047
v_std,1.4383957763351767,0.1356843675264677,1.191703644001573,1.34265678331648,1.429793790658003,1.5230728756183578,1.721872880738033,0.008633702640737045
v_subj(1.0).1,6.082960980096353,0.8162952785195126,4.508301558933212,5.516395782451725,6.072123586561428,6.667239390857275,7.66550885199961,0.062023131573889015
v_subj(1.0).2,3.4644612848820837,0.4915481507541565,2.5998447714264037,3.126261948541522,3.4316728935406395,3.7763912519988567,4.538723830569639,0.04060664654661053
v_subj(1.0).3,6.037242577390478,0.8542492224353956,4.535186867569794,5.396527026025369,5.983484574084086,6.620082310317763,7.846622464857318,0.07546699549421647
v_subj(1.0).4,5.84914549650325,1.024177419100681,3.9995811268438604,5.1258506560102965,5.797699778146478,6.465048471945992,8.123016668042645,0.08780711492455173
v_subj(1.0).6,7.779780461461687,1.0296140570149626,5.791431327540257,7.084941805821629,7.756425959091815,8.441803218624575,9.859245509481411,0.08684894703482157
v_subj(1.0).7,5.857271335270732,0.7791700165516461,4.444808630389943,5.292050559444098,5.826820528931295,6.346856623976944,7.535803803629417,0.061465955636807644
v_subj(1.0).8,7.6747455041665225,1.0861827003225273,5.878314831694714,6.850275476565763,7.601257542953414,8.41141158946467,10.029815693190985,0.09525446045773277
v_subj(1.0).9,5.1463895263562245,0.6410722067216827,3.8616695574146007,4.728024128960572,5.17763166465668,5.567792718233999,6.4510385800365455,0.05089447856095909
v_subj(1.0).10,5.394134934534532,0.6974324113059356,4.127179589603233,4.90264670890539,5.344226612263023,5.913595472606927,6.758319111887606,0.0589423100989772
v_subj(1.0).11,6.54558131375453,1.1548691646681146,4.270253741112114,5.774167274033827,6.541807647815746,7.312506446253663,8.764527125285648,0.07866386987852136
v_subj(1.0).12,6.32808328867471,0.7586564956842085,5.013799434367541,5.774389260612296,6.263292787584682,6.817140644673921,7.887457400804342,0.06506401517631101
v_subj(1.0).13,5.01690283492882,1.107820971813823,3.1924710052333864,4.18083841979082,4.853424283298417,5.7451771107927145,7.357650899976915,0.08715224260518079
v_subj(1.0).14,5.431169207007639,0.7643188529585955,4.191225245100056,4.883410361168407,5.348338282236152,5.888424189612294,7.1120732140469105,0.06561891317232438
v_subj(1.0).15,6.1661902127486945,0.8612557336982936,4.499963217234344,5.595760679485487,6.160762663189495,6.728365718906831,7.867218734254783,0.057546689038307716
v_subj(1.0).16,5.921840049048533,0.7787421210263711,4.487439917918654,5.363254851651571,5.975610647214959,6.491394881983692,7.344340390185415,0.06652991710467289
v_subj(1.0).17,6.053314365616902,0.8514502112229073,4.383671979769458,5.5060955312758955,6.047692649034035,6.6328769254844255,7.744716258109914,0.06841250433492674
v_subj(1.0).18,4.209579249927942,0.8798254402158026,2.9964623286357295,3.6604818916372954,4.029899190257099,4.4875635897747985,6.826533315099878,0.07888897276080134
v_subj(1.0).19,4.060250161490155,0.5712950034040098,3.01078464106041,3.690254164867683,4.019951866869792,4.4219681551623715,5.300329292618059,0.04546102455709424
v_subj(1.0).20,5.203433104420479,0.6282688864272541,3.934314220641198,4.769672870722056,5.215709264807359,5.6424999157895535,6.426998765801022,0.05257940616673508
v_subj(1.0).21,5.197121933299106,0.78119335963814,3.6751929816251665,4.680927262188141,5.2115904776958635,5.711586366428558,6.766310915498028,0.06297365864588167
v_subj(1.0).25,5.686141207906803,0.8185058050748816,4.219714838952276,5.1042137679975745,5.666636139354686,6.240527657265494,7.326489551834316,0.07371926964651779
