,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(1.1),5.442575669509743,0.21826094878840746,5.090974495616326,5.287527430796661,5.413755683088062,5.582736308144766,5.956432191960928,0.018379743630635027
a(1.2),2.670732134301994,0.18272331717483295,2.2923542730881703,2.555378608521423,2.6771031334223574,2.790673273209224,3.013551989103659,0.013489922764268542
a(2.1),4.3496526835730895,0.26154595884386944,3.8048873965408823,4.157983904769107,4.366780911078299,4.55280790574904,4.793203176676268,0.022513743150268772
a(2.2),2.477247753103415,0.15874338175730918,2.174930722841916,2.3660263557856096,2.473436335304189,2.5854440255574795,2.7936872788322082,0.009068174557124428
a(3.1),5.219481811940204,0.25887067438597433,4.683687974469838,5.0659939123077535,5.218826762990951,5.38913863829103,5.713269923665292,0.020355426459040985
a(3.2),2.6847405010520733,0.2477179737027901,2.1337624643997164,2.541178261652919,2.695277883231457,2.8449965238069783,3.1473884586932326,0.01931647464428276
a_std,0.6521446592243133,0.057789865939068055,0.5448133094700527,0.6114184178742137,0.6493587762022969,0.6894461384246843,0.767425800669549,0.004328491909652745
a_subj(1.1).302,5.406058352324522,0.34757262080411994,4.7569045682952185,5.165348803752971,5.419415000012875,5.6501067555511595,6.133313119710896,0.03168082573811585
a_subj(1.1).303,4.563268803607092,0.28835949732752275,4.025613650295115,4.36551181901204,4.556659965439794,4.740243904074411,5.197558818058953,0.02654383356968403
a_subj(1.1).304,5.960672737543735,0.4769772231202964,5.176351703101824,5.599391427239368,5.917392969906929,6.282923410669991,7.040153709438254,0.04504515814089392
a_subj(1.1).305,5.740346673084207,0.37534392615099355,4.983806343372296,5.489494320210547,5.74898284382007,6.008364449854907,6.441582923394671,0.034884625065368546
a_subj(1.1).307,5.439157233639589,0.4938532394587243,4.498271176700924,5.11847637393095,5.427875264977195,5.7426852699747375,6.416402519980882,0.04279824346117648
a_subj(1.1).308,4.801574009697462,0.46518629441393794,3.848336871065633,4.474846593674599,4.8426175700392,5.138679155185713,5.6996658506282,0.04418990477628294
a_subj(1.1).309,5.424679454308569,0.47338661516440966,4.565124414300167,5.096936985879525,5.43533603850425,5.7348586233661125,6.386409902095056,0.044270520228502926
a_subj(1.1).310,5.042827231642465,0.5137578151703125,4.101528895813399,4.693199072932089,5.0133798012585515,5.40000903368053,6.1015700367139365,0.04109179104925344
a_subj(1.1).311,6.011943591129151,0.3821337598293755,5.316593509246162,5.760139096997204,5.991671124059974,6.2461363105229015,6.835212428987594,0.0346734203705808
a_subj(1.1).312,5.737624571492565,0.3394025901291057,5.092551899437799,5.515027217571345,5.712380822727262,5.9432971374618235,6.455488090106825,0.03170494099857405
a_subj(1.1).313,5.976623630238941,0.5608633609384579,4.983500457765284,5.592765265889313,5.961510529420711,6.306170574709059,7.399055372210956,0.052683619496932024
a_subj(1.1).314,5.892045997657553,0.3261290933701933,5.303849811684715,5.6504591808449,5.877842609306712,6.112781850703026,6.538713924272348,0.03089346782839437
a_subj(1.1).315,6.098524313725066,0.45140381734881974,5.160107409999663,5.781917586212553,6.124988643350284,6.409462971001036,6.920328604761647,0.04264882405574215
a_subj(1.1).317,4.644330345312737,0.43340021153009634,3.771029740806787,4.3083496713145415,4.713402941721676,4.9754317923356215,5.365727588621105,0.040785803390707434
a_subj(1.1).319,5.182895600086729,0.44840591936703184,4.250887586701039,4.9054229061153265,5.186854088131709,5.499461398287905,6.021850567947755,0.04124947287979678
a_subj(1.1).320,5.451082348720953,0.4316727621434728,4.509196463235729,5.172997289641565,5.470903253672045,5.761363079453228,6.253451042038169,0.040486668630832785
a_subj(1.1).322,5.73252304109456,0.5092405355047858,4.743311405466377,5.362298620332328,5.7408171718631875,6.079481085060938,6.713321182909706,0.04783894241053375
a_subj(1.1).323,5.101828592448937,0.524245510393655,4.24622729970025,4.718852672702576,5.051010713521046,5.456169260003284,6.2166031493081615,0.049952541142962555
a_subj(1.1).324,6.159510169268237,0.3816145999950396,5.4852690445901535,5.890230299619345,6.124234303632441,6.40787869190133,6.969980468901972,0.03589778007433867
a_subj(1.1).325,5.728319623002848,0.5937564456459404,4.797447797072979,5.1961736350889405,5.689361413951395,6.255944515858017,6.784937840529403,0.05839810660318562
a_subj(1.1).328,4.668897541548116,0.3850505291719711,3.955462621861528,4.409111231768903,4.664167297563739,4.9148784204385105,5.467335082614854,0.03489010793552772
a_subj(1.1).329,5.971337330722298,0.41106635934571695,5.122988584572909,5.72048801592484,5.983769679507016,6.259366915863819,6.671565134499798,0.039279708211716856
a_subj(1.1).332,6.004935578950076,0.43257470069227316,5.226422383729863,5.672859968242321,6.0034271212599055,6.3177412357216225,6.937525104848426,0.041332716831242726
a_subj(1.1).334,4.6527460909216485,0.5556930836924727,3.5244638839811913,4.277987109404142,4.666850544944728,5.022516778970233,5.725483298949323,0.047686424696758184
a_subj(1.1).336,4.824520990847614,0.4151184865325636,4.0298159507668165,4.528123140609156,4.837247516544204,5.13002191637084,5.599747084114993,0.038176531471304224
a_subj(1.1).338,5.229881289010142,0.4411581262167892,4.38424349171455,4.961495527415425,5.237153339053953,5.483843618719719,6.235579405100694,0.039675847800651295
a_subj(1.2).302,2.337930290561832,0.2777281723930278,1.8751009374268197,2.129818298218606,2.3249564368317075,2.5340720517632604,2.904750204871247,0.026264838442204674
a_subj(1.2).303,2.7069144554069777,0.2695683074424998,2.1473095390614994,2.5268315938810697,2.703670719827344,2.922034286996843,3.192150697757861,0.026084259394359672
a_subj(1.2).304,3.0042683926723113,0.3589776163844256,2.2594283565594093,2.763565435362173,3.0209727211113075,3.2394551641468183,3.721292973679932,0.0336598644696824
a_subj(1.2).305,2.7786610253258943,0.40995006192386213,2.150831378292211,2.444607540146539,2.7376379392885193,3.098484608774992,3.6020844486992907,0.03910313667619405
a_subj(1.2).307,1.831779065147497,0.2788696315057104,1.3382602962922978,1.6357301579416754,1.809557571237017,1.987876744389908,2.448339452438589,0.026653857604488733
