,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,4.920047274966555,0.3278728121760985,4.319989871492849,4.711090228999028,4.899762654693394,5.1228658206475135,5.614485053229725,0.02081752473280008
a_std,1.2748251032124418,0.24845328526246122,0.8875372532924561,1.0939140405090164,1.2457385973587063,1.4059912518686355,1.8734240522206542,0.017997180463386837
a_subj.302,4.228153769613151,0.4647918816387813,3.4000685273432514,3.9071886757690826,4.240934955599755,4.554662937678728,5.105094449920026,0.04536166395827679
a_subj.303,4.495300125694026,0.25366935192781975,3.9975976546662837,4.311021958105181,4.5076560269326444,4.685166107382345,4.973508308001583,0.02338742355649828
a_subj.304,5.828485531980681,0.7422584049415675,4.710453887793078,5.289825270619188,5.642045500206974,6.237156159978835,7.519882426396364,0.07353478893820542
a_subj.305,5.357743987657139,0.4391541267807853,4.546582171332798,5.008189044018324,5.383201595619747,5.701359639798521,6.163063149160977,0.04261064308608305
a_subj.307,4.918276778490114,0.6190375847486386,4.022560533809842,4.422986061205311,4.779220854815855,5.452782805717824,6.0778906999585915,0.06111454887938798
a_subj.308,3.240821682265695,0.3788751758692376,2.5318902223051563,2.997424143076715,3.2535761224242137,3.4913329106135365,3.949961807065474,0.03676038675760603
a_subj.309,4.119991361851724,0.6025559099901815,3.052053632600909,3.7375749145108,4.016771207112967,4.50842769923584,5.407289618263694,0.05965146312049539
a_subj.310,4.643766304035305,0.29155315077939037,4.1300573741631394,4.455130366315486,4.645889110629858,4.811761352806022,5.3073863042843845,0.026562314086231026
a_subj.311,5.8195380419362595,0.38411314291380777,4.923280071709702,5.599414251630878,5.84648266481552,6.085519998548643,6.4732913650403185,0.03654855827296962
a_subj.312,5.668367364960712,0.9481803336587225,4.243630058274725,4.744502399956332,5.668798701903062,6.519526190654246,7.155266211255837,0.09417591464221284
a_subj.313,6.459685183200656,0.5129655331727675,5.466022573735518,6.075572664433546,6.482417345508816,6.875965517853894,7.332063738355372,0.050034619073901464
a_subj.314,6.470201867431797,0.5046549424438298,5.462432383798825,6.112631512905085,6.514585384646637,6.845157873828368,7.412792312548956,0.04901498344135086
a_subj.315,6.095267659945494,0.5153571169325996,5.194801349241415,5.7538977755182055,6.083698606156061,6.350444810911355,7.260534418700234,0.050306278668247516
a_subj.317,2.5375498475967118,0.2941428538424408,2.111627732382714,2.3618018967564245,2.48917451691896,2.64551408652993,3.3949928186230895,0.028521475420928318
a_subj.319,4.615690018931835,0.3865608105224621,3.986113462609769,4.273344804056797,4.642509316216429,4.89094936858575,5.322745934608641,0.037225559310351194
a_subj.320,4.177928255488312,0.5070436292836378,3.130671951684786,3.846575453929013,4.179867319706041,4.556277407122224,5.10535361601948,0.049895199766177
a_subj.322,5.449546440504937,0.5428114005260736,4.62051304243277,5.0245931926355905,5.3483217713295925,5.820204945927569,6.633968036745877,0.053119572339633124
a_subj.323,3.8182728720454038,0.5072727378999239,2.914832522022167,3.478571746499305,3.8111593010300755,4.133543101961502,4.816565739040247,0.04965053864458091
a_subj.324,6.638362842131492,0.4393071290065138,5.637771440879091,6.392788618266956,6.583102315049952,6.915447409429698,7.481058253325238,0.04228723658528795
a_subj.325,4.910359292989734,0.4699216864317364,3.937311970723882,4.582642440165832,4.923971318752021,5.2898899508737784,5.778476439001561,0.045871612033393766
a_subj.328,4.021133649654004,0.45668612456064245,3.0768481848774867,3.77449543714153,4.056181746467011,4.377988426232792,4.770737425202413,0.04453217504728196
a_subj.329,6.158452461074806,0.511592790970779,5.35219540226077,5.760954866366593,6.09849392041154,6.572066666124702,7.171218384440438,0.04991911445274665
a_subj.332,6.16503684240856,0.7603652217143694,5.233108226458412,5.562600255380066,5.960314924406462,6.599245599855252,8.043492819293226,0.07531535253500551
a_subj.334,4.136094015204959,0.24344364774079216,3.679611715379145,3.9504304863211974,4.133242104954337,4.315798181928419,4.637764015091046,0.021594253182946783
a_subj.336,4.829811236678047,0.3186271858697134,4.232619223281158,4.611296180251879,4.800222843688411,5.039176879889961,5.475483540362823,0.03003058169852977
a_subj.338,3.3363248011892574,0.43320791802466846,2.4543055456260814,3.084668409903795,3.3549778225215823,3.6304675961615844,4.1364121029516605,0.04235215068349738
v(0),5.248888893841756,0.45126192754878774,4.514637253150868,4.920160566482094,5.182644654010499,5.539558019138462,6.269881731364394,0.03765171530350656
v(1),5.037891564691636,0.25212324001856484,4.5329359604413275,4.866534507062819,5.034262564805159,5.198524750384411,5.540712234063243,0.010942086943995143
v_std,1.227255728433559,0.18575422791389676,0.8971728349014383,1.09557200467297,1.207111172203911,1.3566774306582063,1.6267482660377444,0.013664313656397056
v_subj(0).302,5.645681985755378,0.6456336983714266,4.479871035913007,5.176979312845115,5.629985839979831,6.068876532438736,6.991381522524677,0.04499749485576958
v_subj(0).303,3.6574474933375547,0.3963468519752395,2.9688809951065993,3.377499783931998,3.6332864380261736,3.9302569400414225,4.4717253378016775,0.0285304184135284
v_subj(0).304,5.736524348105933,0.7485150441959192,4.4922965471521605,5.167893372414514,5.629832443638662,6.285231533156372,7.279686263956705,0.06467358759416572
v_subj(0).305,5.804276202335467,0.7380712745585498,4.41248723432905,5.301530573118903,5.770626855850579,6.284002985420667,7.337374788586088,0.059387493987131626
v_subj(0).307,7.3764875131983825,1.0479350677281432,5.73446591494441,6.560050693397711,7.2251583987519385,8.110185499165228,9.686365267180593,0.09039999456489611
v_subj(0).308,5.059684568311519,0.6672329677107027,3.9604894516817932,4.592890071214555,4.992625469458772,5.448316515656169,6.562965891660385,0.050515366588801014
v_subj(0).309,6.957207385711039,0.9879220993279049,5.350403113397796,6.1889567852462575,6.836890139986358,7.680874902432968,8.970118792609092,0.08531068681061307
v_subj(0).310,4.857327861138608,0.5955421997426127,3.81921352933945,4.45246960170449,4.804939589276167,5.220014164191522,6.21439349812241,0.045967193069515654
v_subj(0).311,5.01548183214429,0.5925348402025155,3.9578128303901474,4.601368489273569,4.990933066218656,5.417833745364735,6.355090439457149,0.048025708392031165
